node_name	linked_nodes	is_exact	type
1596_3250	1606_3228	0	0
1606_3228	1594_3216,1596_3250	0	0
1594_3216	1576_3191,1606_3228	0	0
1576_3191	1565_3171,1594_3216	0	0
1565_3171	1576_3191,1581_3157	0	0
1581_3157	1565_3171,1595_3135	0	0
1595_3135	1581_3157,1585_3112	0	0
1585_3112	1574_3095,1595_3135	0	0
1574_3095	1582_3069,1585_3112	0	0
1582_3069	1568_3051,1574_3095	0	0
1568_3051	1547_3032,1582_3069	0	0
1547_3032	1554_3016,1568_3051	0	0
1554_3016	1547_3032,1564_3005	0	0
1564_3005	1554_3016,1573_2986	0	0
1573_2986	1564_3005,1586_2989	0	0
1586_2989	1573_2986,1586_3018	0	0
1586_3018	1586_2989,1599_3023	0	0
1599_3023	1586_3018,1610_3025	0	0
1610_3025	1599_3023,1628_3027	0	0
1628_3027	1610_3025,1637_3035	0	0
1637_3035	1628_3027,1647_3033	0	0
1647_3033	1637_3035,1652_3015	0	0
1652_3015	1647_3033,1674_3029	0	0
1674_3029	1652_3015,1687_3031	0	0
1687_3031	1674_3029,1711_3056	0	0
1711_3056	1687_3031,1729_3056	0	0
1729_3056	1711_3056,1744_3076	0	0
1744_3076	1729_3056,1747_3091	0	0
1747_3091	1735_3116,1744_3076	0	0
1735_3116	1735_3129,1747_3091	0	0
1735_3129	1735_3116,1754_3138	0	0
1754_3138	1735_3129,1770_3153	0	0
1770_3153	1754_3138,1760_3174	0	0
1760_3174	1766_3189,1770_3153	0	0
1766_3189	1760_3174,1782_3208	0	0
1782_3208	1766_3189,1793_3196	0	0
1793_3196	1782_3208,1803_3194	0	0
1803_3194	1793_3196,1814_3172	0	0
1814_3172	1803_3194,1822_3162	0	0
1822_3162	1814_3172,1839_3154	0	0
1839_3154	1822_3162,1851_3166	0	0
1851_3166	1839_3154,1850_3187	0	0
1850_3187	1851_3166,1866_3206	0	0
1866_3206	1850_3187,1858_3230	0	0
1858_3230	1846_3246,1866_3206	0	0
1846_3246	1829_3249,1858_3230	0	0
1829_3249	1817_3263,1846_3246	0	0
1817_3263	1799_3265,1829_3249	0	0
1799_3265	1787_3273,1817_3263	0	0
1787_3273	1775_3290,1799_3265	0	0
1775_3290	1766_3298,1787_3273	0	0
1766_3298	1752_3292,1775_3290	0	0
1752_3292	1743_3293,1766_3298	0	0
1743_3293	1719_3284,1752_3292	0	0
1719_3284	1692_3273,1743_3293	0	0
1692_3273	1669_3256,1719_3284	0	0
1669_3256	1649_3248,1692_3273	0	0
1649_3248	1631_3240,1669_3256	0	0
1631_3240	1621_3233,1649_3248	0	0
1621_3233	1631_3240	0	0
