node_name	linked_nodes	is_exact	type
1596_3199	1605_3207	0	0
1605_3207	1596_3199,1605_3207,1630_3206	0	0
1630_3206	1605_3207,1630_3206,1646_3195	0	0
1646_3195	1630_3206,1646_3195,1663_3190,1670_3199	0	0
1670_3199	1646_3195,1678_3208	0	0
1678_3208	1669_3223,1670_3199	0	0
1669_3223	1661_3251,1678_3208	0	0
1661_3251	1662_3266,1669_3223	0	0
1662_3266	1653_3266,1661_3251	0	0
1653_3266	1634_3274,1645_3272,1653_3266,1662_3266,1680_3267	0	0
1634_3274	1626_3275,1653_3266	0	0
1626_3275	1606_3282,1620_3280,1634_3274	0	0
1606_3282	1597_3306,1605_3286,1626_3275	0	0
1597_3306	1583_3325,1586_3320,1597_3306,1605_3286,1606_3282	0	0
1586_3320	1583_3325,1596_3341,1597_3306	0	0
1596_3341	1586_3320,1592_3335,1608_3341	0	0
1608_3341	1592_3335,1596_3341	0	0
1592_3335	1583_3325,1596_3341,1608_3341	0	0
1583_3325	1586_3320,1592_3335,1597_3306	0	0
1605_3286	1597_3306,1606_3282,1610_3275	0	0
1610_3275	1605_3286,1620_3280	0	0
1620_3280	1610_3275,1626_3275,1645_3272	0	0
1645_3272	1620_3280,1653_3266	0	0
1680_3267	1653_3266,1701_3276	0	0
1701_3276	1680_3267,1704_3291	0	0
1704_3291	1695_3315,1701_3276	0	0
1695_3315	1704_3291,1717_3318	0	0
1717_3318	1695_3315,1735_3324	0	0
1735_3324	1717_3318,1752_3308	0	0
1752_3308	1735_3324,1770_3302	0	0
1770_3302	1752_3308,1791_3294	0	0
1791_3294	1770_3302,1801_3264	0	0
1801_3264	1791_3294,1807_3253	0	0
1807_3253	1801_3264,1831_3245	0	0
1831_3245	1807_3253,1845_3228	0	0
1845_3228	1831_3245,1852_3212	0	0
1852_3212	1845_3228,1846_3194	0	0
1846_3194	1834_3181,1852_3212	0	0
1834_3181	1845_3148,1846_3194	0	0
1845_3148	1831_3138,1834_3181	0	0
1831_3138	1814_3138,1845_3148	0	0
1814_3138	1788_3143,1831_3138	0	0
1788_3143	1773_3157,1814_3138	0	0
1773_3157	1760_3176,1788_3143	0	0
1760_3176	1743_3182,1773_3157	0	0
1743_3182	1723_3183,1760_3176	0	0
1723_3183	1694_3171,1743_3182	0	0
1694_3171	1682_3195,1723_3183	0	0
1682_3195	1663_3190,1694_3171	0	0
1663_3190	1646_3195,1682_3195	0	0
