node_name	linked_nodes	is_exact	type
1464_3035	1478_3040	0	0
1478_3040	1464_3035,1499_3049	0	0
1499_3049	1478_3040,1520_3057	0	0
1520_3057	1499_3049,1533_3040	0	0
1533_3040	1520_3057,1547_3015	0	0
1547_3015	1533_3040,1564_3027	0	0
1564_3027	1547_3015,1581_3034	0	0
1581_3034	1564_3027,1593_3052	0	0
1593_3052	1581_3034,1609_3046	0	0
1609_3046	1593_3052,1618_3045	0	0
1618_3045	1609_3046,1628_3066	0	0
1628_3066	1618_3045,1643_3088	0	0
1643_3088	1628_3066,1645_3116	0	0
1645_3116	1633_3144,1643_3088	0	0
1633_3144	1610_3146,1645_3116	0	0
1610_3146	1603_3150,1633_3144	0	0
1603_3150	1580_3135,1610_3146	0	0
1580_3135	1563_3145,1569_3148,1580_3135,1603_3150,1606_3158	0	0
1563_3145	1549_3133,1569_3148,1580_3135	0	0
1549_3133	1534_3150,1549_3137,1563_3145	0	0
1534_3150	1523_3164,1541_3151,1549_3133	0	0
1523_3164	1506_3166,1523_3158,1534_3150	0	0
1506_3166	1489_3168,1510_3172,1523_3164	0	0
1489_3168	1506_3166,1510_3172	0	0
1510_3172	1489_3168,1506_3166,1523_3158	0	0
1523_3158	1510_3172,1523_3164,1541_3151	0	0
1541_3151	1523_3158,1534_3150,1549_3137	0	0
1549_3137	1541_3151,1549_3133,1569_3148	0	0
1569_3148	1549_3137,1563_3145,1580_3135	0	0
1606_3158	1580_3135,1608_3185	0	0
1608_3185	1606_3158,1621_3207	0	0
1621_3207	1608_3185,1633_3231	0	0
1633_3231	1621_3207	0	0
