node_name	linked_nodes	is_exact	type
1600_3207	1610_3194	0	0
1610_3194	1600_3207,1626_3179	0	0
1626_3179	1610_3194,1633_3166	0	0
1633_3166	1626_3179,1648_3154	0	0
1648_3154	1633_3166,1669_3131	0	0
1669_3131	1638_3105,1648_3114,1648_3154,1668_3126,1669_3131,1684_3108	0	0
1648_3114	1628_3088,1669_3131	0	0
1628_3088	1619_3075,1648_3114	0	0
1619_3075	1628_3088,1638_3105	0	0
1638_3105	1619_3075,1669_3131	0	0
1684_3108	1669_3131,1700_3089	0	0
1700_3089	1684_3108,1694_3093,1722_3062	0	0
1722_3062	1700_3089,1708_3056	0	0
1708_3056	1712_3079,1722_3062	0	0
1712_3079	1694_3093,1708_3056	0	0
1694_3093	1672_3115,1700_3089,1712_3079	0	0
1672_3115	1668_3126,1694_3093	0	0
1668_3126	1669_3131,1672_3115,1680_3143	0	0
1680_3143	1668_3126,1703_3163	0	0
1703_3163	1680_3143,1730_3197	0	0
1730_3197	1703_3163,1750_3218	0	0
1750_3218	1730_3197,1768_3232	0	0
1768_3232	1750_3218,1786_3207	0	0
1786_3207	1768_3232,1813_3180	0	0
1813_3180	1786_3207,1836_3148	0	0
1836_3148	1813_3180,1857_3173	0	0
1857_3173	1836_3148,1884_3198	0	0
1884_3198	1857_3173,1899_3215	0	0
1899_3215	1880_3240,1884_3198	0	0
1880_3240	1864_3261,1899_3215	0	0
1864_3261	1841_3291,1880_3240	0	0
1841_3291	1822_3314,1864_3261	0	0
1822_3314	1803_3341,1841_3291	0	0
1803_3341	1820_3360,1822_3314	0	0
1820_3360	1803_3341,1828_3364	0	0
1828_3364	1820_3360,1856_3387	0	0
1856_3387	1828_3364,1872_3372	0	0
1872_3372	1856_3387,1887_3354	0	0
1887_3354	1872_3372,1907_3330	0	0
1907_3330	1887_3354,1924_3303	0	0
1924_3303	1907_3330,1944_3294	0	0
1944_3294	1924_3303,1968_3262	0	0
1968_3262	1944_3294	0	0
