node_name	linked_nodes	is_exact	type
1384_3286	1376_3297	0	0
1376_3297	1360_3297,1384_3286	0	0
1360_3297	1344_3287,1376_3297	0	0
1344_3287	1329_3273,1360_3297	0	0
1329_3273	1321_3254,1344_3287	0	0
1321_3254	1323_3239,1329_3273	0	0
1323_3239	1321_3254,1330_3220	0	0
1330_3220	1323_3239,1343_3208	0	0
1343_3208	1330_3220,1361_3197	0	0
1361_3197	1343_3208,1378_3187	0	0
1378_3187	1361_3197,1388_3183	0	0
1388_3183	1378_3187,1394_3202	0	0
1394_3202	1388_3183,1401_3216	0	0
1401_3216	1394_3202,1413_3234	0	0
1413_3234	1401_3216,1430_3257	0	0
1430_3257	1413_3234,1446_3273	0	0
1446_3273	1430_3257,1455_3286	0	0
1455_3286	1443_3301,1446_3273	0	0
1443_3301	1426_3320,1455_3286	0	0
1426_3320	1418_3335,1443_3301	0	0
1418_3335	1401_3346,1426_3320	0	0
1401_3346	1386_3346,1418_3335	0	0
1386_3346	1376_3363,1401_3346	0	0
1376_3363	1382_3389,1386_3346	0	0
1382_3389	1376_3363,1391_3416	0	0
1391_3416	1382_3389,1399_3430	0	0
1399_3430	1391_3416,1410_3445	0	0
1410_3445	1399_3430,1419_3464	0	0
1419_3464	1410_3445,1436_3479	0	0
1436_3479	1419_3464,1454_3484	0	0
1454_3484	1436_3479,1472_3499	0	0
1472_3499	1454_3484,1489_3513	0	0
1489_3513	1472_3499,1507_3532	0	0
1507_3532	1489_3513,1518_3529	0	0
1518_3529	1507_3532,1534_3516	0	0
1534_3516	1518_3529,1543_3502	0	0
1543_3502	1534_3516,1545_3490	0	0
1545_3490	1530_3472,1543_3502	0	0
1530_3472	1517_3458,1545_3490	0	0
1517_3458	1501_3439,1530_3472	0	0
1501_3439	1486_3417,1517_3458	0	0
1486_3417	1467_3403,1501_3439	0	0
1467_3403	1454_3386,1486_3417	0	0
1454_3386	1458_3365,1467_3403	0	0
1458_3365	1454_3386,1469_3345	0	0
1469_3345	1458_3365,1486_3330	0	0
1486_3330	1469_3345,1496_3346	0	0
1496_3346	1486_3330,1508_3373	0	0
1508_3373	1496_3346,1526_3400	0	0
1526_3400	1508_3373,1542_3410	0	0
1542_3410	1526_3400,1560_3421	0	0
1560_3421	1542_3410,1568_3430	0	0
1568_3430	1560_3421,1585_3444	0	0
1585_3444	1568_3430,1601_3443	0	0
1601_3443	1585_3444,1614_3432	0	0
1614_3432	1601_3443,1623_3422	0	0
1623_3422	1611_3403,1614_3432	0	0
1611_3403	1597_3382,1623_3422	0	0
1597_3382	1585_3372,1611_3403	0	0
1585_3372	1572_3367,1597_3382	0	0
1572_3367	1553_3348,1585_3372	0	0
1553_3348	1537_3330,1572_3367	0	0
1537_3330	1538_3316,1553_3348	0	0
1538_3316	1537_3330,1549_3299	0	0
1549_3299	1538_3316,1540_3279	0	0
1540_3279	1527_3260,1549_3299	0	0
1527_3260	1519_3242,1540_3279	0	0
1519_3242	1508_3219,1527_3260	0	0
1508_3219	1497_3212,1519_3242	0	0
1497_3212	1486_3196,1508_3219	0	0
1486_3196	1490_3177,1497_3212	0	0
1490_3177	1486_3196,1501_3166	0	0
1501_3166	1490_3177,1516_3145	0	0
1516_3145	1501_3166,1531_3127	0	0
1531_3127	1516_3145,1546_3125	0	0
1546_3125	1531_3127,1563_3140	0	0
1563_3140	1546_3125,1578_3160	0	0
1578_3160	1559_3172,1563_3140	0	0
1559_3172	1549_3190,1578_3160	0	0
1549_3190	1547_3214,1559_3172	0	0
1547_3214	1549_3190,1562_3236	0	0
1562_3236	1547_3214,1578_3256	0	0
1578_3256	1562_3236,1593_3278	0	0
1593_3278	1578_3256,1607_3281	0	0
1607_3281	1593_3278,1617_3273	0	0
1617_3273	1607_3281,1633_3262	0	0
1633_3262	1617_3273,1656_3252	0	0
1656_3252	1633_3262,1670_3256	0	0
1670_3256	1656_3252,1686_3277	0	0
1686_3277	1670_3256,1698_3294	0	0
1698_3294	1686_3277,1703_3311	0	0
1703_3311	1698_3294,1703_3334	0	0
1703_3334	1696_3348,1703_3311	0	0
1696_3348	1681_3359,1703_3334	0	0
1681_3359	1664_3362,1696_3348	0	0
1664_3362	1653_3364,1681_3359	0	0
1653_3364	1640_3358,1664_3362	0	0
1640_3358	1624_3345,1653_3364	0	0
1624_3345	1627_3333,1640_3358	0	0
1627_3333	1624_3345,1636_3323	0	0
1636_3323	1627_3333,1645_3316	0	0
1645_3316	1636_3323	0	0
