node_name	linked_nodes	is_exact	type
1644_3048	1635_3034	0	0
1635_3034	1618_3019,1644_3048	0	0
1618_3019	1603_3034,1635_3034	0	0
1603_3034	1576_3063,1618_3019	0	0
1576_3063	1559_3072,1603_3034	0	0
1559_3072	1541_3094,1576_3063	0	0
1541_3094	1523_3118,1559_3072	0	0
1523_3118	1525_3143,1541_3094	0	0
1525_3143	1523_3118,1541_3159	0	0
1541_3159	1525_3143,1550_3170	0	0
1550_3170	1541_3159,1573_3181	0	0
1573_3181	1550_3170,1566_3182,1582_3204	0	0
1582_3204	1573_3181,1597_3217	0	0
1597_3217	1566_3182,1582_3204	0	0
1566_3182	1573_3181,1584_3166,1597_3217	0	0
1584_3166	1566_3182,1603_3151	0	0
1603_3151	1584_3166,1617_3135	0	0
1617_3135	1603_3151,1636_3141	0	0
1636_3141	1617_3135,1652_3164	0	0
1652_3164	1636_3141,1667_3182	0	0
1667_3182	1652_3164,1664_3205	0	0
1664_3205	1667_3182,1682_3225	0	0
1682_3225	1664_3205,1701_3236	0	0
1701_3236	1682_3225,1714_3228	0	0
1714_3228	1701_3236,1741_3204	0	0
1741_3204	1714_3228,1760_3184	0	0
1760_3184	1741_3204,1779_3167	0	0
1779_3167	1760_3184,1778_3144	0	0
1778_3144	1761_3117,1779_3167	0	0
1761_3117	1749_3101,1778_3144	0	0
1749_3101	1749_3072,1761_3117	0	0
1749_3072	1748_3027,1749_3101	0	0
1748_3027	1749_3072,1766_3003	0	0
1766_3003	1748_3027,1782_2987	0	0
1782_2987	1766_3003,1795_2979	0	0
1795_2979	1782_2987,1811_2968	0	0
1811_2968	1795_2979,1807_2969,1823_2950	0	0
1823_2950	1807_2969,1811_2968	0	0
1807_2969	1811_2968,1812_2991,1823_2950	0	0
1812_2991	1807_2969,1832_3015	0	0
1832_3015	1812_2991,1852_3027	0	0
1852_3027	1832_3015,1866_3012	0	0
1866_3012	1852_3027,1890_2995	0	0
1890_2995	1866_3012,1910_2977	0	0
1910_2977	1890_2995,1924_2958	0	0
1924_2958	1910_2977,1940_2942	0	0
1940_2942	1924_2958,1961_2935	0	0
1961_2935	1940_2942,1969_2917	0	0
1969_2917	1948_2940,1961_2935	0	0
1948_2940	1931_2949,1969_2917	0	0
1931_2949	1913_2922,1948_2940	0	0
1913_2922	1894_2902,1931_2949	0	0
1894_2902	1873_2876,1913_2922	0	0
1873_2876	1842_2844,1894_2902	0	0
1842_2844	1821_2814,1873_2876	0	0
1821_2814	1802_2799,1842_2844	0	0
1802_2799	1784_2788,1821_2814	0	0
1784_2788	1757_2820,1802_2799	0	0
1757_2820	1740_2834,1784_2788	0	0
1740_2834	1718_2861,1757_2820	0	0
1718_2861	1707_2873,1740_2834	0	0
1707_2873	1691_2873,1718_2861	0	0
1691_2873	1657_2980,1707_2873	0	0
1657_2980	1691_2873,1738_2849	0	0
1738_2849	1657_2980,1748_2868	0	0
1748_2868	1738_2849,1760_2885	0	0
1760_2885	1748_2868,1766_2897	0	0
1766_2897	1758_2919,1760_2885	0	0
1758_2919	1745_2933,1766_2897	0	0
1745_2933	1721_2956,1758_2919	0	0
1721_2956	1699_2977,1745_2933	0	0
1699_2977	1687_2980,1721_2956	0	0
1687_2980	1671_2974,1699_2977	0	0
1671_2974	1652_2950,1687_2980	0	0
1652_2950	1634_2932,1671_2974	0	0
1634_2932	1616_2917,1652_2950	0	0
1616_2917	1597_2894,1634_2932	0	0
1597_2894	1582_2874,1616_2917	0	0
1582_2874	1572_2868,1597_2894	0	0
1572_2868	1563_2861,1582_2874	0	0
1563_2861	1572_2868,1589_2884	0	0
1589_2884	1563_2861,1598_2859	0	0
1598_2859	1589_2884,1616_2846	0	0
1616_2846	1598_2859,1626_2821	0	0
1626_2821	1616_2846,1622_2799	0	0
1622_2799	1609_2780,1626_2821	0	0
1609_2780	1594_2756,1622_2799	0	0
1594_2756	1600_2725,1609_2780	0	0
1600_2725	1588_2698,1594_2756	0	0
1588_2698	1575_2680,1600_2725	0	0
1575_2680	1546_2647,1588_2698	0	0
1546_2647	1529_2628,1575_2680	0	0
1529_2628	1511_2616,1546_2647	0	0
1511_2616	1495_2597,1529_2628	0	0
1495_2597	1467_2569,1511_2616	0	0
1467_2569	1435_2545,1495_2597	0	0
1435_2545	1414_2523,1467_2569	0	0
1414_2523	1390_2492,1435_2545	0	0
1390_2492	1377_2478,1414_2523	0	0
1377_2478	1365_2480,1390_2492	0	0
1365_2480	1346_2497,1377_2478	0	0
1346_2497	1365_2480,1421_2543	0	0
1421_2543	1346_2497,1407_2562	0	0
1407_2562	1393_2573,1421_2543	0	0
1393_2573	1367_2604,1407_2562	0	0
1367_2604	1354_2606,1393_2573	0	0
1354_2606	1341_2614,1367_2604	0	0
1341_2614	1318_2589,1354_2606	0	0
1318_2589	1298_2572,1341_2614	0	0
1298_2572	1283_2561,1318_2589	0	0
1283_2561	1256_2584,1298_2572	0	0
1256_2584	1238_2597,1283_2561	0	0
1238_2597	1215_2615,1256_2584	0	0
1215_2615	1203_2638,1238_2597	0	0
1203_2638	1191_2646,1215_2615	0	0
1191_2646	1166_2660,1203_2638	0	0
1166_2660	1148_2679,1191_2646	0	0
1148_2679	1127_2699,1166_2660	0	0
1127_2699	1105_2725,1148_2679	0	0
1105_2725	1092_2740,1127_2699	0	0
1092_2740	1099_2762,1105_2725	0	0
1099_2762	1092_2740,1109_2778	0	0
1109_2778	1099_2762,1131_2805	0	0
1131_2805	1109_2778,1159_2832	0	0
1159_2832	1131_2805,1179_2847	0	0
1179_2847	1159_2832,1190_2859	0	0
1190_2859	1179_2847,1202_2837	0	0
1202_2837	1190_2859,1213_2819	0	0
1213_2819	1202_2837,1230_2808	0	0
1230_2808	1213_2819,1252_2788	0	0
1252_2788	1230_2808,1274_2783	0	0
1274_2783	1252_2788,1290_2806	0	0
1290_2806	1274_2783,1303_2811	0	0
1303_2811	1290_2806,1326_2781	0	0
1326_2781	1303_2811,1342_2768	0	0
1342_2768	1326_2781,1365_2760	0	0
1365_2760	1342_2768,1389_2790	0	0
1389_2790	1365_2760,1407_2806	0	0
1407_2806	1389_2790,1425_2823	0	0
1425_2823	1407_2806,1441_2842	0	0
1441_2842	1425_2823,1459_2864	0	0
1459_2864	1441_2842,1471_2893	0	0
1471_2893	1459_2864,1482_2914	0	0
1482_2914	1471_2893,1503_2943	0	0
1503_2943	1482_2914,1512_2957	0	0
1512_2957	1503_2943,1529_2962	0	0
1529_2962	1512_2957,1535_2953	0	0
1535_2953	1529_2962	0	0
