node_name	linked_nodes	is_exact	type
1739_3208	1727_3223	0	0
1727_3223	1716_3223,1739_3208	0	0
1716_3223	1703_3211,1727_3223	0	0
1703_3211	1693_3202,1716_3223	0	0
1693_3202	1684_3207,1703_3211	0	0
1684_3207	1672_3207,1693_3202	0	0
1672_3207	1654_3216,1684_3207	0	0
1654_3216	1638_3198,1672_3207	0	0
1638_3198	1624_3184,1654_3216	0	0
1624_3184	1612_3161,1638_3198	0	0
1612_3161	1613_3149,1624_3184	0	0
1613_3149	1612_3161,1628_3126	0	0
1628_3126	1613_3149,1631_3108	0	0
1631_3108	1628_3126,1649_3119	0	0
1649_3119	1627_3115,1631_3108,1649_3119,1655_3127,1670_3134	0	0
1670_3134	1649_3119,1655_3127,1670_3134,1682_3145,1686_3149	0	0
1682_3145	1670_3134,1686_3149,1698_3139	0	0
1698_3139	1682_3145,1708_3122	0	0
1708_3122	1686_3149,1698_3139	0	0
1686_3149	1670_3134,1682_3145,1708_3122	0	0
1655_3127	1649_3119,1670_3134	0	0
1627_3115	1626_3100,1649_3119	0	0
1626_3100	1615_3083,1627_3115	0	0
1615_3083	1598_3084,1615_3083,1626_3100,1630_3068	0	0
1630_3068	1615_3083,1630_3068,1642_3058,1646_3053	0	0
1646_3053	1630_3068,1642_3058,1660_3042	0	0
1660_3042	1646_3053,1658_3038,1673_3017	0	0
1673_3017	1660_3042,1670_3020,1686_3015	0	0
1686_3015	1673_3017,1698_3026	0	0
1698_3026	1679_3006,1686_3015	0	0
1679_3006	1670_3020,1698_3026	0	0
1670_3020	1658_3038,1673_3017,1679_3006	0	0
1658_3038	1642_3058,1660_3042,1670_3020	0	0
1642_3058	1630_3068,1646_3053,1658_3038	0	0
1598_3084	1589_3101,1615_3083	0	0
1589_3101	1574_3119,1598_3084	0	0
1574_3119	1557_3136,1589_3101	0	0
1557_3136	1549_3146,1574_3119	0	0
1549_3146	1557_3136,1560_3165	0	0
1560_3165	1549_3146,1574_3185	0	0
1574_3185	1560_3165,1594_3205	0	0
1594_3205	1574_3185,1600_3218	0	0
1600_3218	1590_3242,1594_3205	0	0
1590_3242	1600_3218,1605_3265	0	0
1605_3265	1590_3242,1597_3296	0	0
1597_3296	1605_3265,1609_3312	0	0
1609_3312	1597_3296,1628_3336	0	0
1628_3336	1609_3312,1641_3337	0	0
1641_3337	1628_3336,1651_3323	0	0
1651_3323	1641_3337,1661_3308	0	0
1661_3308	1651_3323	0	0
