node_name	linked_nodes	is_exact	type
1692_2872	1681_2883	0	0
1681_2883	1658_2880,1692_2872	0	0
1658_2880	1635_2907,1681_2883	0	0
1635_2907	1615_2931,1658_2880	0	0
1615_2931	1592_2957,1635_2907	0	0
1592_2957	1572_2980,1615_2931	0	0
1572_2980	1539_3018,1592_2957	0	0
1539_3018	1519_3036,1572_2980	0	0
1519_3036	1499_3057,1539_3018	0	0
1499_3057	1488_3074,1519_3036	0	0
1488_3074	1499_3057,1505_3099	0	0
1505_3099	1488_3074,1527_3123	0	0
1527_3123	1505_3099,1548_3153	0	0
1548_3153	1527_3123,1563_3129	0	0
1563_3129	1548_3153,1587_3105	0	0
1587_3105	1563_3129,1605_3084	0	0
1605_3084	1587_3105,1622_3095	0	0
1622_3095	1605_3084,1635_3119	0	0
1635_3119	1616_3143,1622_3095	0	0
1616_3143	1612_3155,1635_3119	0	0
1612_3155	1616_3143,1626_3181	0	0
1626_3181	1612_3155,1640_3201	0	0
1640_3201	1626_3181,1652_3212	0	0
1652_3212	1640_3201,1676_3207	0	0
1676_3207	1652_3212,1692_3204	0	0
1692_3204	1676_3207,1713_3221	0	0
1713_3221	1692_3204,1712_3244	0	0
1712_3244	1713_3221,1726_3270	0	0
1726_3270	1712_3244,1751_3287	0	0
1751_3287	1726_3270,1767_3298	0	0
1767_3298	1751_3287,1790_3290	0	0
1790_3290	1767_3298,1807_3276	0	0
1807_3276	1790_3290,1822_3252	0	0
1822_3252	1807_3276,1826_3218	0	0
1826_3218	1822_3252,1825_3199	0	0
1825_3199	1815_3178,1826_3218	0	0
1815_3178	1825_3199,1834_3161	0	0
1834_3161	1815_3178,1845_3138	0	0
1845_3138	1819_3103,1834_3161	0	0
1819_3103	1800_3090,1845_3138	0	0
1800_3090	1819_3103	0	0
