node_name	linked_nodes	is_exact	type
1599_3210	1580_3195	0	0
1580_3195	1565_3191,1599_3210	0	0
1565_3191	1554_3210,1580_3195	0	0
1554_3210	1541_3208,1565_3191	0	0
1541_3208	1519_3190,1554_3210	0	0
1519_3190	1508_3179,1541_3208	0	0
1508_3179	1510_3156,1519_3190	0	0
1510_3156	1508_3179,1523_3130	0	0
1523_3130	1510_3156,1531_3116	0	0
1531_3116	1523_3130,1526_3101	0	0
1526_3101	1513_3090,1531_3116	0	0
1513_3090	1490_3070,1526_3101	0	0
1490_3070	1480_3064,1513_3090	0	0
1480_3064	1468_3081,1490_3070	0	0
1468_3081	1454_3072,1480_3064	0	0
1454_3072	1436_3057,1468_3081	0	0
1436_3057	1417_3038,1454_3072	0	0
1417_3038	1417_3038,1425_3016,1436_3057	0	0
1425_3016	1417_3038,1437_2998	0	0
1437_2998	1425_3016,1453_2977	0	0
1453_2977	1437_2998,1453_2977,1459_2960,1470_2991	0	0
1470_2991	1453_2977,1470_2991,1492_3005	0	0
1492_3005	1470_2991,1492_3005,1504_3012,1521_3028	0	0
1504_3012	1492_3005,1511_2990	0	0
1511_2990	1504_3012,1522_2980	0	0
1522_2980	1511_2990,1528_2971	0	0
1528_2971	1522_2980,1547_2968	0	0
1547_2968	1528_2971,1546_2946	0	0
1546_2946	1547_2968,1558_2951	0	0
1558_2951	1546_2946,1568_2951	0	0
1568_2951	1558_2951,1579_2940	0	0
1579_2940	1568_2951,1598_2956	0	0
1598_2956	1579_2940,1616_2968	0	0
1616_2968	1598_2956,1626_2978	0	0
1626_2978	1590_2819,1616_2968	0	0
1590_2819	1579_2841,1626_2978	0	0
1579_2841	1566_2829,1590_2819	0	0
1566_2829	1547_2811,1579_2841	0	0
1547_2811	1540_2805,1566_2829	0	0
1540_2805	1525_2818,1547_2811	0	0
1525_2818	1516_2835,1540_2805	0	0
1516_2835	1508_2854,1525_2818	0	0
1508_2854	1515_2866,1516_2835	0	0
1515_2866	1508_2854,1540_2887	0	0
1540_2887	1515_2866,1538_2899	0	0
1538_2899	1526_2909,1540_2887	0	0
1526_2909	1508_2926,1538_2899	0	0
1508_2926	1491_2946,1526_2909	0	0
1491_2946	1481_2931,1508_2926	0	0
1481_2931	1471_2935,1491_2946	0	0
1471_2935	1459_2960,1481_2931	0	0
1459_2960	1453_2977,1471_2935	0	0
1521_3028	1492_3005,1539_3042	0	0
1539_3042	1521_3028,1548_3049	0	0
1548_3049	1539_3042,1540_3079	0	0
1540_3079	1548_3049,1560_3086	0	0
1560_3086	1540_3079,1576_3105	0	0
1576_3105	1560_3086,1584_3112	0	0
1584_3112	1576_3105,1608_3130	0	0
1608_3130	1584_3112,1625_3155	0	0
1625_3155	1608_3130,1636_3154	0	0
1636_3154	1625_3155,1655_3138	0	0
1655_3138	1636_3154,1667_3122	0	0
1667_3122	1655_3138,1680_3105	0	0
1680_3105	1667_3122,1693_3085	0	0
1693_3085	1680_3105,1705_3075	0	0
1705_3075	1693_3085,1725_3059	0	0
1725_3059	1705_3075,1739_3043	0	0
1739_3043	1725_3059,1735_3020	0	0
1735_3020	1713_3000,1739_3043	0	0
1713_3000	1691_2985,1735_3020	0	0
1691_2985	1676_2971,1713_3000	0	0
1676_2971	1656_2953,1691_2985	0	0
1656_2953	1635_2937,1676_2971	0	0
1635_2937	1615_2916,1656_2953	0	0
1615_2916	1596_2900,1635_2937	0	0
1596_2900	1581_2889,1615_2916	0	0
1581_2889	1596_2900	0	0
