node_name	linked_nodes	is_exact	type
1692_3017	1710_3035	0	0
1710_3035	1692_3017,1735_3056	0	0
1735_3056	1710_3035,1755_3068	0	0
1755_3068	1735_3056,1766_3079	0	0
1766_3079	1755_3068,1763_3098	0	0
1763_3098	1747_3114,1763_3098,1766_3079,1779_3073	0	0
1747_3114	1735_3128,1747_3114,1763_3098	0	0
1735_3128	1721_3122,1725_3124,1735_3128,1747_3114	0	0
1721_3122	1700_3105,1725_3124,1735_3128	0	0
1700_3105	1688_3095,1690_3099,1700_3105,1721_3122,1725_3124	0	0
1688_3095	1680_3109,1690_3099,1700_3105	0	0
1680_3109	1666_3128,1679_3114,1688_3095	0	0
1666_3128	1655_3140,1663_3133,1680_3109	0	0
1655_3140	1624_3122,1655_3140,1663_3133,1666_3128,1668_3156	0	0
1668_3156	1655_3140,1688_3174	0	0
1688_3174	1668_3156,1695_3184	0	0
1695_3184	1683_3200,1688_3174	0	0
1683_3200	1662_3223,1695_3184	0	0
1662_3223	1650_3225,1683_3200	0	0
1650_3225	1641_3236,1662_3223	0	0
1641_3236	1624_3255,1650_3225	0	0
1624_3255	1614_3242,1641_3236	0	0
1614_3242	1596_3223,1624_3255	0	0
1596_3223	1585_3218,1614_3242	0	0
1585_3218	1581_3207,1596_3223	0	0
1581_3207	1570_3195,1585_3218	0	0
1570_3195	1558_3182,1581_3207	0	0
1558_3182	1551_3150,1570_3195	0	0
1551_3150	1558_3126,1558_3182	0	0
1558_3126	1551_3150,1571_3106	0	0
1571_3106	1558_3126,1573_3097	0	0
1573_3097	1571_3106,1590_3099	0	0
1590_3099	1573_3097,1611_3116	0	0
1611_3116	1590_3099,1624_3122	0	0
1624_3122	1611_3116,1655_3140	0	0
1663_3133	1655_3140,1666_3128,1679_3114	0	0
1679_3114	1663_3133,1680_3109,1690_3099	0	0
1690_3099	1679_3114,1688_3095,1700_3105	0	0
1725_3124	1700_3105,1721_3122,1735_3128	0	0
1779_3073	1763_3098,1789_3055	0	0
1789_3055	1779_3073,1800_3041	0	0
1800_3041	1789_3055,1824_3051	0	0
1824_3051	1800_3041,1838_3039	0	0
1838_3039	1824_3051,1855_3008	0	0
1855_3008	1838_2988,1838_3039	0	0
1838_2988	1828_2983,1855_3008	0	0
1828_2983	1813_2967,1838_2988	0	0
1813_2967	1796_2959,1828_2983	0	0
1796_2959	1813_2967	0	0
