node_name	linked_nodes	is_exact	type
1680_3391	1661_3402	0	0
1661_3402	1646_3410,1680_3391	0	0
1646_3410	1628_3380,1661_3402	0	0
1628_3380	1616_3379,1646_3410	0	0
1616_3379	1598_3395,1628_3380	0	0
1598_3395	1594_3416,1616_3379	0	0
1594_3416	1576_3436,1598_3395	0	0
1576_3436	1581_3456,1594_3416	0	0
1581_3456	1565_3473,1576_3436	0	0
1565_3473	1548_3497,1581_3456	0	0
1548_3497	1535_3512,1565_3473	0	0
1535_3512	1523_3535,1548_3497	0	0
1523_3535	1535_3512,1550_3551	0	0
1550_3551	1523_3535,1574_3563	0	0
1574_3563	1550_3551,1586_3567	0	0
1586_3567	1574_3563,1599_3550	0	0
1599_3550	1586_3567,1621_3542	0	0
1621_3542	1599_3550,1627_3522	0	0
1627_3522	1614_3499,1621_3542	0	0
1614_3499	1627_3522,1632_3476	0	0
1632_3476	1614_3499,1649_3480	0	0
1649_3480	1632_3476,1672_3490	0	0
1672_3490	1649_3480,1685_3497	0	0
1685_3497	1672_3490,1700_3477	0	0
1700_3477	1685_3497,1720_3463	0	0
1720_3463	1700_3477,1741_3450	0	0
1741_3450	1720_3463,1761_3436	0	0
1761_3436	1741_3450,1765_3424	0	0
1765_3424	1311_3295,1761_3436	0	0
1311_3295	1290_3309,1765_3424	0	0
1290_3309	1271_3328,1311_3295	0	0
1271_3328	1250_3348,1290_3309	0	0
1250_3348	1263_3364,1271_3328	0	0
1263_3364	1250_3348,1278_3387	0	0
1278_3387	1263_3364,1296_3402	0	0
1296_3402	1278_3387,1315_3416	0	0
1315_3416	1296_3402,1324_3434	0	0
1324_3434	1315_3416,1325_3453	0	0
1325_3453	1318_3467,1324_3434	0	0
1318_3467	1325_3453,1327_3480	0	0
1327_3480	1318_3467,1339_3483	0	0
1339_3483	1327_3480,1356_3503	0	0
1356_3503	1339_3483,1379_3521	0	0
1379_3521	1356_3503,1391_3536	0	0
1391_3536	1379_3521,1414_3558	0	0
1414_3558	1391_3536,1431_3571	0	0
1431_3571	1414_3558,1453_3591	0	0
1453_3591	1431_3571,1471_3614	0	0
1471_3614	1453_3591,1483_3633	0	0
1483_3633	1471_3614,1503_3657	0	0
1503_3657	1483_3633,1522_3661	0	0
1522_3661	1503_3657,1542_3662	0	0
1542_3662	1522_3661,1565_3667	0	0
1565_3667	1542_3662,1590_3670	0	0
1590_3670	1565_3667,1604_3667	0	0
1604_3667	1590_3670,1624_3638	0	0
1624_3638	1604_3667,1637_3626	0	0
1637_3626	1624_3638,1657_3626	0	0
1657_3626	1637_3626,1685_3623	0	0
1685_3623	1657_3626,1702_3608	0	0
1702_3608	1685_3623,1715_3604	0	0
1715_3604	1702_3608,1735_3581	0	0
1735_3581	1715_3604,1756_3564	0	0
1756_3564	1735_3581,1749_3526	0	0
1749_3526	1756_3564,1771_3509	0	0
1771_3509	1749_3526,1794_3501	0	0
1794_3501	1771_3509,1812_3483	0	0
1812_3483	1794_3501,1831_3467	0	0
1831_3467	1812_3483	0	0
