node_name	linked_nodes	is_exact	type
2284_2816	2280_2819,2295_2803	0	0
2295_2803	2284_2816,2293_2808,2310_2784	0	0
2310_2784	2295_2803,2303_2787,2324_2766	0	0
2324_2766	2310_2784,2344_2756	0	0
2344_2756	2324_2766,2355_2730	0	0
2355_2730	2344_2756,2365_2698	0	0
2365_2698	2352_2676,2355_2730,2363_2694	0	0
2352_2676	2335_2661,2365_2698	0	0
2335_2661	2318_2641,2352_2676	0	0
2318_2641	2299_2628,2335_2661	0	0
2299_2628	2281_2608,2318_2641	0	0
2281_2608	2274_2579,2299_2628	0	0
2274_2579	2281_2608,2292_2555	0	0
2292_2555	2274_2579,2309_2546	0	0
2309_2546	2292_2555,2333_2514	0	0
2333_2514	2309_2546,2344_2500	0	0
2344_2500	2333_2514,2359_2490	0	0
2359_2490	2344_2500,2391_2496	0	0
2391_2496	2359_2490,2407_2511	0	0
2407_2511	2391_2496,2405_2540	0	0
2405_2540	2392_2572,2407_2511	0	0
2392_2572	2388_2594,2405_2540	0	0
2388_2594	2387_2608,2392_2572	0	0
2387_2608	2388_2594,2404_2628	0	0
2404_2628	2387_2608,2423_2641	0	0
2423_2641	2404_2628,2438_2661	0	0
2438_2661	2423_2641,2450_2648	0	0
2450_2648	2438_2661,2463_2634	0	0
2463_2634	2450_2648,2480_2619	0	0
2480_2619	2463_2634,2500_2601	0	0
2500_2601	2480_2619,2526_2629	0	0
2526_2629	2500_2601,2549_2649	0	0
2549_2649	2526_2629,2563_2668	0	0
2563_2668	2548_2690,2549_2649	0	0
2548_2690	2535_2706,2563_2668	0	0
2535_2706	2521_2721,2548_2690	0	0
2521_2721	2508_2730,2535_2706	0	0
2508_2730	2488_2752,2521_2721	0	0
2488_2752	2470_2765,2508_2730	0	0
2470_2765	2453_2780,2488_2752	0	0
2453_2780	2437_2761,2470_2765	0	0
2437_2761	2410_2734,2453_2780	0	0
2410_2734	2390_2714,2437_2761	0	0
2390_2714	2363_2694,2410_2734	0	0
2363_2694	2361_2708,2365_2698,2390_2714	0	0
2361_2708	2352_2742,2363_2694	0	0
2352_2742	2335_2762,2361_2708	0	0
2335_2762	2323_2776,2352_2742	0	0
2323_2776	2303_2787,2335_2762	0	0
2303_2787	2293_2808,2310_2784,2323_2776	0	0
2293_2808	2280_2819,2295_2803,2303_2787	0	0
2280_2819	2284_2816,2293_2808	0	0
