node_name	linked_nodes	is_exact	type
1521_3357	1535_3378	0	0
1535_3378	1521_3357,1555_3389	0	0
1555_3389	1535_3378,1571_3399	0	0
1571_3399	1555_3389,1586_3389	0	0
1586_3389	1571_3399,1590_3372	0	0
1590_3372	1586_3389,1601_3362	0	0
1601_3362	1590_3372,1616_3363	0	0
1616_3363	1601_3362,1616_3333	0	0
1616_3333	1616_3363,1623_3309	0	0
1623_3309	1616_3333,1630_3303	0	0
1630_3303	1623_3309,1646_3303	0	0
1646_3303	1630_3303,1644_3330	0	0
1644_3330	1646_3303,1648_3348	0	0
1648_3348	1644_3330,1650_3375	0	0
1650_3375	1648_3348,1664_3385	0	0
1664_3385	1650_3375,1668_3405	0	0
1668_3405	1664_3385,1677_3416	0	0
1677_3416	1668_3405,1688_3418	0	0
1688_3418	1677_3416,1692_3444	0	0
1692_3444	1688_3418,1711_3443	0	0
1711_3443	1692_3444,1725_3436	0	0
1725_3436	1711_3443,1737_3419	0	0
1737_3419	1725_3436,1748_3407	0	0
1748_3407	1737_3419,1760_3398	0	0
1760_3398	1748_3407,1761_3365	0	0
1761_3365	1744_3346,1760_3398	0	0
1744_3346	1730_3334,1761_3365	0	0
1730_3334	1720_3305,1744_3346	0	0
1720_3305	1711_3286,1730_3334	0	0
1711_3286	1720_3305,1730_3277	0	0
1730_3277	1711_3286,1743_3271	0	0
1743_3271	1730_3277,1739_3247	0	0
1739_3247	1738_3229,1743_3271	0	0
1738_3229	1739_3247,1753_3220	0	0
1753_3220	1738_3229,1757_3188	0	0
1757_3188	1751_3161,1753_3220,1764_3188	0	0
1751_3161	1733_3139,1748_3157,1751_3161,1754_3164,1757_3188	0	0
1733_3139	1712_3120,1716_3121,1733_3139,1748_3157,1751_3161	0	0
1716_3121	1701_3107,1712_3120,1716_3121,1723_3127,1728_3106,1733_3139	0	0
1701_3107	1687_3095,1698_3101,1716_3121	0	0
1687_3095	1673_3081,1701_3107	0	0
1673_3081	1679_3078,1686_3067,1687_3095	0	0
1686_3067	1673_3081,1679_3078,1686_3067,1702_3053	0	0
1702_3053	1686_3067,1702_3053,1706_3045	0	0
1706_3045	1702_3053,1706_3045,1726_3061,1728_3066	0	0
1726_3061	1706_3045,1728_3066,1746_3081	0	0
1746_3081	1726_3061,1749_3086	0	0
1749_3086	1728_3106,1746_3081	0	0
1728_3106	1716_3121,1749_3086	0	0
1723_3127	1583_3195,1716_3121	0	0
1583_3195	1575_3210,1582_3200,1583_3195,1609_3592,1723_3127	0	0
1575_3210	1573_3223,1583_3195	0	0
1573_3223	1571_3231,1575_3210	0	0
1571_3231	1549_3254,1573_3223	0	0
1549_3254	1536_3273,1571_3231	0	0
1536_3273	1525_3274,1549_3254	0	0
1525_3274	1509_3294,1536_3273	0	0
1509_3294	1504_3326,1525_3274	0	0
1504_3326	1509_3294,1515_3344	0	0
1515_3344	1497_3358,1504_3326	0	0
1497_3358	1493_3388,1515_3344	0	0
1493_3388	1497_3358,1498_3417	0	0
1498_3417	1493_3388,1511_3416	0	0
1511_3416	1498_3417,1521_3446	0	0
1521_3446	1511_3416,1528_3459	0	0
1528_3459	1517_3493,1521_3446	0	0
1517_3493	1511_3514,1528_3459	0	0
1511_3514	1517_3493,1529_3533	0	0
1529_3533	1511_3514,1543_3545	0	0
1543_3545	1529_3533,1555_3560	0	0
1555_3560	1543_3545,1560_3587	0	0
1560_3587	1555_3560,1575_3594	0	0
1575_3594	1560_3587,1592_3599	0	0
1592_3599	1575_3594,1609_3592	0	0
1609_3592	1583_3195,1592_3599	0	0
1582_3200	1583_3195,1590_3206	0	0
1590_3206	1582_3200,1596_3203	0	0
1596_3203	1590_3206,1606_3189	0	0
1606_3189	1596_3203,1619_3178	0	0
1619_3178	1606_3189,1619_3178,1626_3171,1647_3203	0	0
1626_3171	1619_3178	0	0
1647_3203	1619_3178,1655_3201	0	0
1655_3201	1647_3203,1669_3188	0	0
1669_3188	1655_3201,1682_3174	0	0
1682_3174	1669_3188,1686_3168	0	0
1686_3168	1675_3155,1682_3174	0	0
1675_3155	1680_3136,1686_3168	0	0
