node_name	linked_nodes	is_exact	type
1588_3195	1570_3179	0	0
1570_3179	1554_3160,1588_3195	0	0
1554_3160	1566_3149,1570_3179	0	0
1566_3149	1554_3160,1581_3132	0	0
1581_3132	1566_3149,1600_3113	0	0
1600_3113	1581_3132,1621_3092	0	0
1621_3092	1600_3113,1638_3103	0	0
1638_3103	1621_3092,1656_3101	0	0
1656_3101	1638_3103,1668_3093	0	0
1668_3093	1656_3101,1697_3129	0	0
1697_3129	1668_3093,1720_3143	0	0
1720_3143	1697_3129,1733_3159	0	0
1733_3159	1720_3143,1730_3176	0	0
1730_3176	1722_3187,1733_3159	0	0
1722_3187	1702_3210,1730_3176	0	0
1702_3210	1715_3226,1722_3187	0	0
1715_3226	1702_3210,1702_3242	0	0
1702_3242	1683_3258,1715_3226	0	0
1683_3258	1649_3291,1702_3242	0	0
1649_3291	1635_3308,1683_3258	0	0
1635_3308	1611_3332,1649_3291	0	0
1611_3332	1590_3350,1635_3308	0	0
1590_3350	1577_3360,1611_3332	0	0
1577_3360	1566_3339,1590_3350	0	0
1566_3339	1537_3317,1577_3360	0	0
1537_3317	1511_3301,1566_3339	0	0
1511_3301	1485_3265,1537_3317	0	0
1485_3265	1451_3236,1511_3301	0	0
1451_3236	1428_3213,1485_3265	0	0
1428_3213	1408_3186,1451_3236	0	0
1408_3186	1409_3151,1428_3213	0	0
1409_3151	1408_3186,1428_3143	0	0
1428_3143	1409_3151,1442_3125	0	0
1442_3125	1428_3143,1462_3108	0	0
1462_3108	1442_3125,1489_3077	0	0
1489_3077	1462_3108,1521_3056	0	0
1521_3056	1489_3077,1547_3026	0	0
1547_3026	1521_3056,1569_2999	0	0
1569_2999	1547_3026,1596_2972	0	0
1596_2972	1569_2999,1611_2954	0	0
1611_2954	1591_2926,1596_2972	0	0
1591_2926	1568_2920,1611_2954	0	0
1568_2920	1547_2948,1591_2926	0	0
1547_2948	1520_2966,1568_2920	0	0
1520_2966	1508_2984,1547_2948	0	0
1508_2984	1493_3002,1520_2966	0	0
1493_3002	1464_3021,1508_2984	0	0
1464_3021	1442_3056,1493_3002	0	0
1442_3056	1411_3075,1464_3021	0	0
1411_3075	1387_3104,1442_3056	0	0
1387_3104	1361_3131,1411_3075	0	0
1361_3131	1341_3150,1387_3104	0	0
1341_3150	1307_3180,1361_3131	0	0
1307_3180	1334_3210,1341_3150	0	0
1334_3210	1307_3180,1356_3232	0	0
1356_3232	1334_3210,1397_3273	0	0
1397_3273	1356_3232,1428_3302	0	0
1428_3302	1397_3273,1455_3335	0	0
1455_3335	1428_3302,1490_3368	0	0
1490_3368	1455_3335,1527_3404	0	0
1527_3404	1490_3368,1555_3430	0	0
1555_3430	1527_3404,1581_3458	0	0
1581_3458	1555_3430,1597_3457	0	0
1597_3457	1581_3458	0	0
