node_name	linked_nodes	is_exact	type
1584_3248	1593_3232	0	0
1593_3232	1584_3248,1608_3218	0	0
1608_3218	1593_3232,1620_3193	0	0
1620_3193	1608_3218,1625_3179	0	0
1625_3179	1612_3162,1620_3193	0	0
1612_3162	1599_3141,1625_3179	0	0
1599_3141	1589_3144,1612_3162	0	0
1589_3144	1570_3164,1599_3141	0	0
1570_3164	1563_3172,1589_3144	0	0
1563_3172	1552_3155,1570_3164	0	0
1552_3155	1538_3121,1563_3172	0	0
1538_3121	1523_3089,1552_3155	0	0
1523_3089	1513_3071,1538_3121	0	0
1513_3071	1523_3047,1523_3089	0	0
1523_3047	1513_3071,1532_3029	0	0
1532_3029	1523_3047,1549_3014	0	0
1549_3014	1532_3029,1563_2998	0	0
1563_2998	1549_3014,1573_2981	0	0
1573_2981	1563_2998,1585_2972	0	0
1585_2972	1573_2981,1582_2960	0	0
1582_2960	1582_2947,1585_2972	0	0
1582_2947	1582_2960,1588_2932	0	0
1588_2932	1582_2947,1583_2914	0	0
1583_2914	1573_2890,1588_2932	0	0
1573_2890	1583_2914,1585_2869	0	0
1585_2869	1573_2890,1595_2843	0	0
1595_2843	1585_2869,1608_2827	0	0
1608_2827	1595_2843,1619_2830	0	0
1619_2830	1608_2827,1626_2848	0	0
1626_2848	1619_2830,1634_2867	0	0
1634_2867	1626_2848,1649_2886	0	0
1649_2886	1634_2867,1652_2911	0	0
1652_2911	1649_2886,1669_2928	0	0
1669_2928	1652_2911,1680_2927	0	0
1680_2927	1669_2928,1686_2927	0	0
1686_2927	1680_2927,1696_2908	0	0
1696_2908	1686_2927,1709_2895	0	0
1709_2895	1696_2908,1720_2902	0	0
1720_2902	1709_2895,1728_2919	0	0
1728_2919	1720_2902,1732_2932	0	0
1732_2932	1728_2919,1738_2951	0	0
1738_2951	1732_2932,1755_2969	0	0
1755_2969	1738_2951,1762_3002	0	0
1762_3002	1755_2969,1769_3032	0	0
1769_3032	1754_3047,1762_3002	0	0
1754_3047	1737_3065,1769_3032	0	0
1737_3065	1749_3084,1754_3047	0	0
1749_3084	1737_3065,1760_3100	0	0
1760_3100	1749_3084,1771_3123	0	0
1771_3123	1760_3100,1776_3139	0	0
1776_3139	1765_3155,1771_3123	0	0
1765_3155	1752_3187,1776_3139	0	0
1752_3187	1736_3174,1765_3155	0	0
1736_3174	1721_3167,1752_3187	0	0
1721_3167	1709_3140,1736_3174	0	0
1709_3140	1697_3142,1721_3167	0	0
1697_3142	1684_3165,1709_3140	0	0
1684_3165	1685_3189,1697_3142	0	0
1685_3189	1684_3165,1694_3204	0	0
1694_3204	1685_3189,1695_3231	0	0
1695_3231	1689_3247,1694_3204	0	0
1689_3247	1671_3267,1695_3231	0	0
1671_3267	1658_3269,1689_3247	0	0
1658_3269	1671_3267	0	0
