node_name	linked_nodes	is_exact	type
1666_3219	1659_3232	0	0
1659_3232	1657_3241,1666_3219	0	0
1657_3241	1658_3251,1659_3232	0	0
1658_3251	1654_3257,1657_3241	0	0
1654_3257	1648_3255,1658_3251	0	0
1648_3255	1640_3254,1654_3257	0	0
1640_3254	1631_3257,1648_3255	0	0
1631_3257	1624_3265,1640_3254	0	0
1624_3265	1615_3275,1631_3257	0	0
1615_3275	1618_3291,1624_3265	0	0
1618_3291	1615_3275,1624_3304	0	0
1624_3304	1618_3291,1635_3318	0	0
1635_3318	1624_3304,1635_3332	0	0
1635_3332	1635_3318,1649_3346	0	0
1649_3346	1635_3332,1648_3352,1663_3360	0	0
1663_3360	1649_3346,1657_3363,1675_3366	0	0
1675_3366	1663_3360,1672_3376	0	0
1672_3376	1663_3379,1675_3366	0	0
1663_3379	1657_3363,1672_3376	0	0
1657_3363	1648_3352,1663_3360,1663_3379	0	0
1648_3352	1636_3342,1649_3346,1657_3363	0	0
1636_3342	1626_3338,1648_3352	0	0
1626_3338	1607_3357,1636_3342	0	0
1607_3357	1594_3372,1626_3338	0	0
1594_3372	1579_3386,1607_3357	0	0
1579_3386	1582_3397,1594_3372	0	0
1582_3397	1579_3386,1579_3402,1594_3409	0	0
1594_3409	1582_3397,1593_3414,1607_3422	0	0
1607_3422	1594_3409,1601_3423,1615_3418	0	0
1615_3418	1607_3422,1618_3431	0	0
1618_3431	1608_3441,1615_3418	0	0
1608_3441	1601_3435,1618_3431	0	0
1601_3435	1601_3423,1608_3441	0	0
1601_3423	1593_3414,1601_3435,1607_3422	0	0
1593_3414	1585_3406,1594_3409,1601_3423	0	0
1585_3406	1579_3402,1593_3414	0	0
1579_3402	1574_3394,1582_3397,1585_3406	0	0
1574_3394	1567_3398,1579_3402	0	0
1567_3398	1563_3399,1574_3394	0	0
1563_3399	1555_3391,1567_3398	0	0
1555_3391	1541_3378,1563_3399	0	0
1541_3378	1532_3369,1555_3391	0	0
1532_3369	1524_3367,1541_3378	0	0
1524_3367	1517_3376,1532_3369	0	0
1517_3376	1498_3389,1524_3367	0	0
1498_3389	1488_3401,1517_3376	0	0
1488_3401	1476_3406,1498_3389	0	0
1476_3406	1470_3414,1488_3401	0	0
1470_3414	1463_3404,1476_3406	0	0
1463_3404	1449_3410,1470_3414	0	0
1449_3410	1444_3421,1463_3404	0	0
1444_3421	1437_3435,1449_3410	0	0
1437_3435	1444_3421,1446_3446	0	0
1446_3446	1437_3435,1456_3457	0	0
1456_3457	1446_3446,1465_3455	0	0
1465_3455	1456_3457,1473_3448	0	0
1473_3448	1465_3455,1480_3459	0	0
1480_3459	1473_3448,1501_3473	0	0
1501_3473	1480_3459,1523_3495	0	0
1523_3495	1501_3473,1532_3478	0	0
1532_3478	1523_3495,1548_3474	0	0
1548_3474	1532_3478,1561_3487	0	0
1561_3487	1548_3474,1570_3499	0	0
1570_3499	1561_3487	0	0
