node_name	linked_nodes	is_exact	type
1646_3555	1639_3530	0	0
1639_3530	1638_3495,1646_3555	0	0
1638_3495	1637_3458,1639_3530	0	0
1637_3458	1638_3495,1653_3447	0	0
1653_3447	1637_3458,1664_3443	0	0
1664_3443	1653_3447,1679_3461	0	0
1679_3461	1664_3443,1695_3487	0	0
1695_3487	1679_3461,1714_3485	0	0
1714_3485	1695_3487,1724_3460	0	0
1724_3460	1714_3485,1738_3441	0	0
1738_3441	1724_3460,1760_3422	0	0
1760_3422	1738_3441,1773_3411	0	0
1773_3411	1760_3422,1789_3392	0	0
1789_3392	1773_3411,1813_3393	0	0
1813_3393	1789_3392,1825_3394	0	0
1825_3394	1813_3393,1840_3376	0	0
1840_3376	1825_3394,1850_3360	0	0
1850_3360	1840_3376,1870_3342	0	0
1870_3342	1850_3360,1882_3321	0	0
1882_3321	1870_3342,1873_3300	0	0
1873_3300	1863_3271,1882_3321	0	0
1863_3271	1862_3246,1873_3300	0	0
1862_3246	1860_3216,1863_3271	0	0
1860_3216	1862_3246,1876_3196	0	0
1876_3196	1860_3216,1891_3194	0	0
1891_3194	1876_3196,1908_3214	0	0
1908_3214	1891_3194,1924_3240	0	0
1924_3240	1908_3214,1938_3262	0	0
1938_3262	1924_3240,1953_3288	0	0
1953_3288	1938_3262,1960_3316	0	0
1960_3316	1953_3288,1973_3304	0	0
1973_3304	1960_3316,1990_3293	0	0
1990_3293	1973_3304,2000_3280	0	0
2000_3280	1990_3293,2006_3261	0	0
2006_3261	1992_3234,2000_3280	0	0
1992_3234	1979_3215,2006_3261	0	0
1979_3215	1966_3185,1992_3234	0	0
1966_3185	1952_3165,1979_3215	0	0
1952_3165	1937_3132,1966_3185	0	0
1937_3132	1919_3107,1952_3165	0	0
1919_3107	1912_3075,1937_3132	0	0
1912_3075	1897_3039,1919_3107	0	0
1897_3039	1884_3005,1912_3075	0	0
1884_3005	1875_2975,1897_3039	0	0
1875_2975	1858_2944,1884_3005	0	0
1858_2944	1837_2961,1875_2975	0	0
1837_2961	1819_2983,1858_2944	0	0
1819_2983	1802_2983,1837_2961	0	0
1802_2983	1784_2956,1819_2983	0	0
1784_2956	1769_2943,1802_2983	0	0
1769_2943	1761_2947,1784_2956	0	0
1761_2947	1740_2960,1769_2943	0	0
1740_2960	1734_2978,1761_2947	0	0
1734_2978	1740_2960,1741_3010	0	0
1741_3010	1734_2978,1746_3053	0	0
1746_3053	1733_3074,1741_3010	0	0
1733_3074	1719_3089,1746_3053	0	0
1719_3089	1700_3093,1733_3074	0	0
1700_3093	1690_3072,1719_3089	0	0
1690_3072	1681_3046,1700_3093	0	0
1681_3046	1668_3034,1690_3072	0	0
1668_3034	1660_3036,1681_3046	0	0
1660_3036	1648_3050,1668_3034	0	0
1648_3050	1660_3036	0	0
