node_name	linked_nodes	is_exact	type
1751_3107	1750_3119	0	0
1750_3119	1751_3107,1764_3140	0	0
1764_3140	1750_3119,1761_3159	0	0
1761_3159	1751_3177,1764_3140	0	0
1751_3177	1740_3185,1761_3159	0	0
1740_3185	1727_3194,1751_3177	0	0
1727_3194	1711_3180,1740_3185	0	0
1711_3180	1690_3163,1727_3194	0	0
1690_3163	1678_3145,1711_3180	0	0
1678_3145	1667_3127,1690_3163	0	0
1667_3127	1647_3113,1678_3145	0	0
1647_3113	1626_3095,1667_3127	0	0
1626_3095	1605_3076,1647_3113	0	0
1605_3076	1600_3053,1626_3095	0	0
1600_3053	1605_3076,1614_3041	0	0
1614_3041	1600_3053,1628_3032	0	0
1628_3032	1614_3041,1621_3034,1628_3032,1644_3024	0	0
1644_3024	1628_3032,1644_3024,1657_3031,1661_3035	0	0
1661_3035	1644_3024,1657_3031,1671_3048	0	0
1671_3048	1657_3031,1661_3035	0	0
1657_3031	1644_3024,1661_3035,1671_3048	0	0
1621_3034	1608_3049,1628_3032	0	0
1608_3049	1601_3062,1621_3034	0	0
1601_3062	1608_3049,1614_3086	0	0
1614_3086	1601_3062,1636_3107	0	0
1636_3107	1614_3086,1631_3127	0	0
1631_3127	1630_3146,1636_3107	0	0
1630_3146	1631_3127,1631_3167	0	0
1631_3167	1624_3190,1630_3146	0	0
1624_3190	1619_3218,1631_3167	0	0
1619_3218	1614_3230,1624_3190	0	0
1614_3230	1598_3244,1619_3218	0	0
1598_3244	1583_3249,1614_3230	0	0
1583_3249	1573_3238,1598_3244	0	0
1573_3238	1553_3212,1583_3249	0	0
1553_3212	1548_3192,1573_3238	0	0
1548_3192	1549_3164,1553_3212	0	0
1549_3164	1548_3192,1562_3144	0	0
1562_3144	1549_3164,1572_3135	0	0
1572_3135	1562_3144,1591_3135	0	0
1591_3135	1572_3135,1597_3147	0	0
1597_3147	1589_3172,1591_3135	0	0
1589_3172	1590_3185,1597_3147	0	0
1590_3185	1589_3172	0	0
