node_name	linked_nodes	is_exact	type
1635_3188	1625_3187,1635_3188,1645_3194,1744_3157	0	0
1625_3187	1616_3179,1635_3188	0	0
1616_3179	1603_3190,1606_3165,1616_3179,1625_3187	0	0
1606_3165	1589_3148,1606_3165,1616_3179	0	0
1589_3148	1586_3152,1592_3153,1606_3165	0	0
1586_3152	1572_3126,1589_3148,1592_3153	0	0
1572_3126	1567_3127,1572_3100,1586_3152	0	0
1572_3100	1572_3126,1580_3070	0	0
1580_3070	1572_3100,1578_3035	0	0
1578_3035	1578_3014,1580_3070	0	0
1578_3014	1560_3012,1578_3035	0	0
1560_3012	1548_3021,1578_3014	0	0
1548_3021	1532_3020,1560_3012	0	0
1532_3020	1516_3021,1548_3021	0	0
1516_3021	1493_3017,1532_3020	0	0
1493_3017	1483_2990,1516_3021	0	0
1483_2990	1473_2958,1493_3017	0	0
1473_2958	1467_2936,1483_2990	0	0
1467_2936	1449_2943,1452_2933,1467_2936,1473_2958,1480_2939	0	0
1452_2933	1437_2950,1467_2936	0	0
1437_2950	1449_2943,1452_2933	0	0
1449_2943	1437_2950,1467_2936	0	0
1480_2939	1467_2936,1495_2919	0	0
1495_2919	1480_2939,1505_2901	0	0
1505_2901	1495_2919,1525_2908	0	0
1525_2908	1505_2901,1532_2924	0	0
1532_2924	1525_2908,1542_2904	0	0
1542_2904	1532_2924,1545_2877	0	0
1545_2877	1542_2904,1564_2877	0	0
1564_2877	1545_2877,1576_2886	0	0
1576_2886	1564_2877,1571_2914	0	0
1571_2914	1576_2886,1589_2922	0	0
1589_2922	1571_2914,1587_2953	0	0
1587_2953	1589_2922,1598_2964	0	0
1598_2964	1587_2953,1609_2980	0	0
1609_2980	1598_2964,1621_2997	0	0
1621_2997	1609_2980,1646_3010	0	0
1646_3010	1621_2997,1663_3041	0	0
1663_3041	1646_3010,1681_3018	0	0
1681_3018	1663_3041,1691_2994	0	0
1691_2994	1681_3018,1705_2963	0	0
1705_2963	1691_2994,1721_2933	0	0
1721_2933	1705_2963,1751_2938	0	0
1751_2938	1721_2933,1768_2936	0	0
1768_2936	1751_2938,1776_2945	0	0
1776_2945	1768_2936,1791_2924	0	0
1791_2924	1776_2945,1818_2941	0	0
1818_2941	1791_2924,1833_2910	0	0
1833_2910	1818_2941,1819_2956,1833_2910,1846_2886,1858_2873	0	0
1846_2886	1833_2910,1850_2848	0	0
1850_2848	1846_2886,1858_2873	0	0
1858_2873	1833_2910,1850_2848	0	0
1819_2956	1819_2970,1833_2910	0	0
1819_2970	1800_2981,1819_2956	0	0
1800_2981	1779_2996,1819_2970	0	0
1779_2996	1764_3011,1800_2981	0	0
1764_3011	1756_3044,1779_2996	0	0
1756_3044	1762_3076,1764_3011	0	0
1762_3076	1756_3044,1764_3116	0	0
1764_3116	1762_3076,1766_3144	0	0
1766_3144	1744_3157,1764_3116	0	0
1744_3157	1635_3188,1766_3144	0	0
1645_3194	1619_3194,1635_3188	0	0
1619_3194	1606_3176,1645_3194	0	0
1606_3176	1592_3153,1619_3194	0	0
1592_3153	1578_3139,1586_3152,1589_3148,1606_3176	0	0
1578_3139	1567_3127,1592_3153	0	0
1567_3127	1547_3129,1572_3126,1578_3139	0	0
1547_3129	1532_3131,1567_3127	0	0
1532_3131	1519_3097,1547_3129	0	0
1519_3097	1500_3116,1532_3131	0	0
1500_3116	1488_3134,1519_3097	0	0
1488_3134	1464_3139,1500_3116	0	0
1464_3139	1454_3165,1488_3134	0	0
1454_3165	1461_3197,1464_3139	0	0
1461_3197	1454_3165,1454_3229	0	0
1454_3229	1461_3197,1469_3242	0	0
1469_3242	1454_3229,1488_3249	0	0
1488_3249	1469_3242,1500_3266	0	0
1500_3266	1488_3249,1509_3294	0	0
1509_3294	1498_3302,1500_3266	0	0
1498_3302	1498_3334,1509_3294	0	0
1498_3334	1498_3302,1500_3371	0	0
1500_3371	1490_3373,1498_3334	0	0
1490_3373	1474_3368,1500_3371	0	0
1474_3368	1475_3353,1490_3373	0	0
1475_3353	1474_3368,1478_3348	0	0
1478_3348	1475_3353,1475_3376	0	0
1475_3376	1452_3393,1478_3348	0	0
1452_3393	1465_3418,1475_3376	0	0
1465_3418	1452_3393,1472_3430	0	0
1472_3430	1465_3418,1494_3431	0	0
1494_3431	1472_3430,1513_3423	0	0
1513_3423	1494_3431,1538_3421	0	0
1538_3421	1513_3423,1563_3416	0	0
1563_3416	1538_3421,1588_3416	0	0
1588_3416	1563_3416,1599_3410	0	0
1599_3410	1588_3416,1596_3377	0	0
1596_3377	1596_3348,1599_3410	0	0
1596_3348	1596_3377,1612_3331	0	0
1612_3331	1596_3348,1625_3324	0	0
1625_3324	1612_3331,1622_3327,1631_3306	0	0
1631_3306	1622_3327,1625_3324,1631_3306,1647_3283,1651_3286	0	0
1647_3283	1631_3306,1648_3262,1651_3286	0	0
1648_3262	1647_3283,1650_3255	0	0
1650_3255	1648_3262,1665_3270	0	0
1665_3270	1650_3255,1661_3278	0	0
1661_3278	1665_3270,1713_3161	0	0
1713_3161	1661_3278,1700_3178	0	0
1700_3178	1691_3186,1713_3161	0	0
1691_3186	1675_3198,1700_3178	0	0
1675_3198	1668_3210,1691_3186	0	0
1668_3210	1668_3235,1675_3198	0	0
1668_3235	1668_3210,1690_3244	0	0
1690_3244	1668_3235,1716_3277	0	0
1716_3277	1690_3244,1736_3286	0	0
1736_3286	1716_3277,1751_3310	0	0
1751_3310	1736_3286,1759_3339	0	0
1759_3339	1739_3357,1751_3310	0	0
1739_3357	1730_3385,1759_3339	0	0
1730_3385	1709_3403,1726_3383,1739_3357	0	0
1709_3403	1691_3400,1697_3405,1709_3403,1726_3383,1730_3385	0	0
1697_3405	1691_3400,1699_3432,1709_3403	0	0
1699_3432	1679_3447,1697_3405	0	0
1679_3447	1661_3443,1699_3432	0	0
1661_3443	1660_3426,1679_3447	0	0
1660_3426	1661_3443,1661_3488	0	0
1661_3488	1660_3426,1671_3497	0	0
1671_3497	1661_3488,1675_3538	0	0
1675_3538	1671_3497,1687_3570	0	0
1687_3570	1675_3538,1691_3577	0	0
1691_3577	1687_3570,1695_3614	0	0
1695_3614	1691_3577,1715_3624	0	0
1715_3624	1695_3614,1722_3615	0	0
1722_3615	1715_3624,1722_3597	0	0
1722_3597	1722_3615,1723_3592	0	0
1723_3592	1714_3582,1722_3597	0	0
1714_3582	1716_3562,1723_3592	0	0
1716_3562	1714_3582,1732_3557	0	0
1732_3557	1716_3562,1736_3525	0	0
1736_3525	1732_3557,1754_3498	0	0
1754_3498	1736_3525,1751_3470	0	0
1751_3470	1736_3449,1754_3498	0	0
1736_3449	1751_3424,1751_3470	0	0
1751_3424	1736_3449,1745_3399	0	0
1745_3399	1726_3383,1751_3424	0	0
1726_3383	1709_3403,1730_3385,1745_3399	0	0
1691_3400	1675_3373,1697_3405,1709_3403	0	0
1675_3373	1661_3352,1691_3400	0	0
1661_3352	1649_3344,1675_3373	0	0
1649_3344	1639_3350,1661_3352	0	0
1639_3350	1628_3352,1649_3344	0	0
1628_3352	1623_3344,1639_3350	0	0
1623_3344	1622_3327,1628_3352	0	0
1622_3327	1623_3344,1625_3324,1631_3306	0	0
1651_3286	1631_3306,1637_3271,1647_3283	0	0
1637_3271	1620_3266,1651_3286	0	0
1620_3266	1612_3246,1637_3271	0	0
1612_3246	1594_3230,1620_3266	0	0
1594_3230	1579_3215,1612_3246	0	0
1579_3215	1588_3203,1594_3230	0	0
1588_3203	1579_3215,1603_3190	0	0
1603_3190	1588_3203,1616_3179	0	0
1607_3163	1607_3175,1639_3198	0	1
1607_3175	1607_3163,1614_3182	0	1
1614_3182	1607_3175,1615_3178,1619_3190,1609_3190	0	1
1615_3178	1614_3182	0	1
1619_3190	1614_3182,1630_3190	0	1
1630_3190	1619_3190,1637_3187,1639_3198	0	1
1637_3187	1630_3190	0	1
1639_3198	1607_3163,1630_3190,1645_3193,1648_3200	0	1
1645_3193	1639_3198	0	1
1648_3200	1639_3198,1655_3207	0	1
1655_3207	1648_3200,1662_3215	0	1
1662_3215	1655_3207,1666_3226	0	1
1666_3226	1662_3215,1668_3240	0	1
1668_3240	1666_3226,1661_3248	0	1
1661_3248	1668_3240,1655_3256	0	1
1655_3256	1661_3248,1651_3252,1658_3265	0	1
1651_3252	1655_3256	0	1
1658_3265	1655_3256,1665_3273,1651_3274	0	1
1665_3273	1658_3265,1668_3269,1660_3280	0	1
1668_3269	1665_3273	0	1
1660_3280	1665_3273	0	1
1651_3274	1658_3265,1647_3288,1642_3276	0	1
1647_3288	1651_3274,1641_3298	0	1
1641_3298	1647_3288,1633_3307	0	1
1633_3307	1641_3298,1630_3305	0	1
1630_3305	1633_3307	0	1
1642_3276	1651_3274,1633_3272	0	1
1633_3272	1642_3276,1622_3271	0	1
1622_3271	1633_3272,1616_3280,1615_3262	0	1
1616_3280	1622_3271,1610_3287	0	1
1610_3287	1616_3280,1607_3283	0	1
1607_3283	1610_3287	0	1
1615_3262	1622_3271,1608_3253	0	1
1608_3253	1615_3262,1602_3244	0	1
1602_3244	1608_3253,1592_3232	0	1
1592_3232	1602_3244,1595_3228,1584_3224	0	1
1595_3228	1592_3232	0	1
1584_3224	1592_3232,1585_3210	0	1
1585_3210	1584_3224,1593_3202	0	1
1593_3202	1585_3210,1602_3194	0	1
1602_3194	1593_3202,1609_3190	0	1
1609_3190	1614_3182,1602_3194	0	1
