node_name	linked_nodes	is_exact	type
2370_5796	2384_5802	0	0
2384_5802	2370_5796,2399_5805	0	0
2399_5805	2384_5802,2412_5794	0	0
2412_5794	2399_5805,2430_5811	0	0
2430_5811	2412_5794,2446_5816	0	0
2446_5816	2430_5811,2457_5828	0	0
2457_5828	2446_5816,2463_5852	0	0
2463_5852	2457_5828,2461_5863	0	0
2461_5863	2456_5881,2463_5852	0	0
2456_5881	2446_5902,2461_5863	0	0
2446_5902	2447_5919,2456_5881	0	0
2447_5919	2439_5947,2446_5902	0	0
2439_5947	2435_5954,2447_5919	0	0
2435_5954	2418_5963,2439_5947	0	0
2418_5963	2406_5982,2435_5954	0	0
2406_5982	2390_6001,2418_5963	0	0
2390_6001	2371_6019,2406_5982	0	0
2371_6019	2351_6035,2390_6001	0	0
2351_6035	2337_6050,2371_6019	0	0
2337_6050	2310_6036,2351_6035	0	0
2310_6036	2292_6016,2337_6050	0	0
2292_6016	2277_6028,2310_6036	0	0
2277_6028	2257_6018,2292_6016	0	0
2257_6018	2240_6026,2277_6028	0	0
2240_6026	2226_6006,2257_6018	0	0
2226_6006	2208_5989,2240_6026	0	0
2208_5989	2188_5972,2226_6006	0	0
2188_5972	2177_5947,2208_5989	0	0
2177_5947	2163_5934,2188_5972	0	0
2163_5934	2150_5954,2177_5947	0	0
2150_5954	2132_5963,2163_5934	0	0
2132_5963	2110_5990,2150_5954	0	0
2110_5990	2132_5963,2471_5709	0	0
2471_5709	2110_5990,2464_5737	0	0
2464_5737	2449_5727,2471_5709	0	0
2449_5727	2429_5733,2464_5737	0	0
2429_5733	2411_5728,2449_5727	0	0
2411_5728	2392_5728,2429_5733	0	0
2392_5728	2382_5742,2411_5728	0	0
2382_5742	2369_5758,2392_5728	0	0
2369_5758	2362_5764,2382_5742	0	0
2362_5764	2345_5749,2369_5758	0	0
2345_5749	2325_5734,2362_5764	0	0
2325_5734	2301_5745,2345_5749	0	0
2301_5745	2286_5754,2325_5734	0	0
2286_5754	2284_5779,2301_5745	0	0
2284_5779	2284_5813,2286_5754	0	0
2284_5813	2284_5779,2297_5824	0	0
2297_5824	2284_5813,2316_5823	0	0
2316_5823	2297_5824,2335_5822	0	0
2335_5822	2316_5823,2337_5844	0	0
2337_5844	2322_5859,2335_5822	0	0
2322_5859	2312_5875,2337_5844	0	0
2312_5875	2300_5891,2322_5859	0	0
2300_5891	2283_5891,2312_5875	0	0
2283_5891	2262_5913,2300_5891	0	0
2262_5913	2254_5926,2283_5891	0	0
2254_5926	2261_5947,2262_5913	0	0
2261_5947	2254_5926	0	0
