npcId	phai	series	genere
1199	caibang	3	0
1489	caibang	3	0
1772	caibang	3	0
1793	caibang	3	0
1202	conlon	4	0
1487	conlon	4	0
1774	conlon	4	0
1795	conlon	4	0
1195	duongmon	1	0
1485	duongmon	1	0
1768	duongmon	1	0
1789	duongmon	1	0
1197	ngami	2	2
1483	ngami	2	2
1769	ngami	2	2
1790	ngami	2	2
1196	ngudoc	1	0
1488	ngudoc	1	0
1767	ngudoc	1	0
1788	ngudoc	1	0
1200	thiennhan	3	0
1480	thiennhan	3	0
1771	thiennhan	3	0
1792	thiennhan	3	0
1193	thienvuong	0	1
1481	thienvuong	0	1
1484	thienvuong	0	1
1765	thienvuong	0	1
1786	thienvuong	0	1
1194	thieulam	0	1
1766	thieulam	0	1
1787	thieulam	0	1
1198	thuyyen	2	2
1482	thuyyen	2	2
1770	thuyyen	2	2
1791	thuyyen	2	2
1201	vodang	4	0
1486	vodang	4	0
1773	vodang	4	0
1794	vodang	4	0
